category	sub_Category	precision	recall	fbeta
native-country	China	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Cuba	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	El-Salvador	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Thailand	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Peru	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Outlying-US(Guam-USVI-etc)	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Laos	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Hong	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Nicaragua	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Jamaica	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	France	0.7360793287566743	0.6146496815286624	0.6699062825407844
native-country	Trinadad&Tobago	0.7360793287566743	0.6146496815286624	0.6699062825407844
